Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jonas Valančiūnas,C,31,NOP,33,33,27.6,5.7,10.0,0.568,0.7,1.9,0.355,5.0,8.1,0.618,0.602,2.4,3.0,0.8,2.4,7.2,9.7,2.4,0.6,1.3,1.5,3.2,14.4
Jarred Vanderbilt,PF,24,LAL,13,5,17.8,1.2,3.4,0.341,0.1,1.1,0.071,1.1,2.3,0.467,0.352,0.2,0.3,0.75,1.2,2.8,4.1,0.8,0.7,0.2,0.3,1.9,2.6
Fred VanVleet,PG,29,HOU,30,30,37.4,5.7,14.2,0.402,3.0,7.6,0.39,2.7,6.6,0.416,0.507,3.0,3.4,0.874,0.3,3.6,3.9,8.5,1.1,0.5,1.7,1.9,17.4
Devin Vassell,SG,23,SAS,27,21,30.2,6.7,14.5,0.463,2.6,7.1,0.365,4.1,7.4,0.558,0.552,2.3,2.9,0.818,0.4,3.0,3.4,3.0,1.2,0.2,1.3,1.1,18.3
Sasha Vezenkov,PF,28,SAC,27,0,12.9,2.0,4.6,0.427,1.1,2.9,0.367,0.9,1.7,0.533,0.544,0.2,0.3,0.75,0.7,1.9,2.6,0.5,0.5,0.2,0.3,1.0,5.2
Gabe Vincent,PG,27,LAL,5,0,25.4,2.4,6.4,0.375,0.4,3.4,0.118,2.0,3.0,0.667,0.406,0.2,0.4,0.5,0.4,0.6,1.0,3.0,1.2,0.0,0.4,2.4,5.4
Nikola Vučević,C,33,CHI,31,31,34.0,7.0,15.5,0.452,1.1,3.9,0.281,5.9,11.6,0.51,0.488,1.6,1.8,0.875,2.7,7.6,10.4,3.4,0.8,0.7,1.7,2.6,16.7
Dean Wade,PF,27,CLE,26,19,22.1,1.8,4.5,0.405,1.4,3.8,0.37,0.4,0.6,0.625,0.565,0.4,0.5,0.786,1.1,3.7,4.8,0.8,0.9,0.3,0.5,2.2,5.5
Franz Wagner,SF,22,ORL,32,32,34.2,7.8,16.8,0.465,1.4,4.9,0.287,6.4,11.9,0.538,0.507,4.2,4.9,0.847,1.1,4.9,6.0,4.0,1.2,0.4,1.8,2.3,21.2
Moritz Wagner,C,26,ORL,32,0,18.5,4.4,7.3,0.601,0.5,1.6,0.314,3.9,5.7,0.681,0.635,1.9,2.4,0.782,1.5,2.8,4.4,1.2,0.4,0.3,1.3,2.3,11.2
Ish Wainright,SF,29,POR,6,0,4.8,0.5,2.2,0.231,0.5,1.8,0.273,0.0,0.3,0.0,0.346,0.3,0.3,1.0,0.0,0.7,0.7,0.0,0.2,0.2,0.2,0.7,1.8
Jabari Walker,SF,21,POR,32,0,18.9,2.9,6.0,0.487,0.5,1.8,0.271,2.4,4.2,0.582,0.528,1.8,2.3,0.76,1.8,3.6,5.5,0.7,0.7,0.4,0.9,2.3,8.2
Jarace Walker,PF,20,IND,9,0,9.4,1.3,3.1,0.429,0.3,1.2,0.273,1.0,1.9,0.529,0.482,0.3,0.3,1.0,0.1,1.2,1.3,1.2,0.4,0.3,0.3,1.2,3.3
Lonnie Walker IV,SG,25,BRK,17,0,21.3,5.2,10.6,0.489,2.6,5.6,0.463,2.6,5.0,0.518,0.611,1.7,2.2,0.763,0.2,2.5,2.6,1.6,0.6,0.4,1.5,0.9,14.6
Cason Wallace,SG,20,OKC,31,6,21.7,2.6,5.0,0.532,1.0,2.3,0.431,1.6,2.6,0.622,0.633,0.5,0.5,0.824,0.5,1.7,2.2,1.5,0.6,0.5,0.5,1.7,6.7
P.J. Washington,PF,25,CHO,28,13,29.4,5.0,11.8,0.422,1.8,5.8,0.309,3.2,6.0,0.533,0.498,1.6,2.1,0.763,1.3,4.1,5.4,2.3,0.9,0.8,1.5,2.6,13.3
Yuta Watanabe,SF,29,PHO,22,0,15.8,1.4,4.0,0.345,1.0,3.2,0.329,0.3,0.8,0.412,0.477,0.4,0.6,0.692,0.5,1.4,1.9,0.5,0.3,0.3,0.6,1.4,4.2
Trendon Watford,PF,23,BRK,23,0,13.5,2.6,4.8,0.541,0.3,0.9,0.3,2.3,4.0,0.593,0.568,0.9,1.0,0.875,0.8,2.4,3.2,1.8,0.5,0.3,1.0,1.7,6.4
Peyton Watson,SF,21,DEN,33,2,17.7,2.6,5.0,0.512,0.6,1.8,0.345,2.0,3.3,0.602,0.572,0.8,1.3,0.651,0.5,2.1,2.6,1.1,0.5,0.9,0.6,1.7,6.6
Victor Wembanyama,PF,20,SAS,28,28,29.5,7.0,15.8,0.442,1.4,4.9,0.29,5.6,10.9,0.511,0.488,3.4,4.3,0.793,2.2,8.1,10.3,3.0,1.3,3.1,3.3,2.3,18.9
Blake Wesley,SG,20,SAS,11,0,6.3,0.6,1.7,0.368,0.0,0.3,0.0,0.6,1.5,0.438,0.368,0.5,0.9,0.5,0.3,0.4,0.6,1.9,0.3,0.1,0.2,0.7,1.7
Russell Westbrook,PG,35,LAC,32,10,23.9,4.6,9.9,0.468,0.7,2.3,0.284,4.0,7.6,0.525,0.502,1.5,2.3,0.635,1.6,4.9,6.5,4.7,1.1,0.5,2.3,2.0,11.4
Coby White,PG,23,CHI,34,34,35.0,6.3,14.3,0.442,2.9,7.3,0.391,3.5,7.0,0.496,0.542,2.2,2.6,0.822,0.5,3.8,4.3,4.8,0.7,0.2,2.0,2.5,17.7
Derrick White,SG,29,BOS,29,29,32.6,5.7,11.6,0.491,2.7,6.6,0.416,3.0,5.0,0.589,0.609,2.9,3.2,0.892,0.8,3.1,3.9,5.3,1.2,1.3,1.7,2.1,17.0
Cam Whitmore,SF,19,HOU,8,0,9.0,2.6,4.9,0.538,0.8,2.0,0.375,1.9,2.9,0.652,0.615,0.9,1.8,0.5,0.5,1.6,2.1,0.3,0.4,0.1,0.4,0.8,6.9
Aaron Wiggins,SG,25,OKC,29,0,12.1,1.8,3.1,0.582,0.5,1.1,0.484,1.3,2.1,0.633,0.665,0.6,0.9,0.72,0.7,1.7,2.4,0.7,0.4,0.1,0.6,1.1,4.8
Andrew Wiggins,SF,28,GSW,28,21,26.6,4.8,11.3,0.424,1.0,3.2,0.3,3.8,8.1,0.473,0.467,2.1,3.0,0.706,1.9,2.5,4.4,1.4,0.3,0.4,1.6,2.4,12.7
Lindell Wigginton,PG,25,MIL,3,0,2.7,0.7,1.7,0.4,0.0,0.7,0.0,0.7,1.0,0.667,0.4,0.7,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,2.0
Grant Williams,PF,25,DAL,31,27,28.4,3.1,7.4,0.417,1.9,5.0,0.381,1.2,2.4,0.493,0.546,0.8,1.2,0.649,1.1,2.7,3.8,1.6,0.5,0.6,0.9,2.9,8.8
Jalen Williams,PF,22,OKC,28,28,31.8,6.8,13.1,0.518,1.3,3.2,0.416,5.5,9.9,0.55,0.568,3.1,3.6,0.851,0.4,3.5,3.9,4.0,0.9,0.5,1.7,2.6,18.0
Jaylin Williams,C,21,OKC,26,0,11.9,1.2,3.2,0.378,0.7,2.0,0.333,0.5,1.2,0.452,0.482,0.5,0.6,0.933,0.5,2.8,3.3,1.4,0.3,0.2,0.4,1.6,3.6
Jeenathan Williams,SG,24,HOU,4,0,5.5,1.5,2.8,0.545,0.0,0.5,0.0,1.5,2.3,0.667,0.545,0.3,0.5,0.5,0.0,0.0,0.0,0.5,0.3,0.0,0.0,0.5,3.3
Kenrich Williams,PF,29,OKC,21,0,15.7,2.0,4.0,0.494,1.0,2.0,0.465,1.0,1.9,0.525,0.614,0.1,0.5,0.3,0.6,2.0,2.7,1.7,0.6,0.1,0.2,1.6,5.0
Patrick Williams,PF,22,CHI,34,24,27.9,3.9,8.4,0.46,1.4,3.3,0.407,2.5,5.1,0.494,0.54,1.3,1.6,0.768,1.1,2.9,4.1,1.5,0.9,0.9,1.1,1.9,10.4
Vince Williams Jr.,SG,23,MEM,24,7,20.9,1.5,4.3,0.359,1.1,3.3,0.325,0.5,1.0,0.478,0.485,1.1,1.3,0.813,1.0,4.0,5.0,1.6,0.5,0.6,0.8,2.2,5.3
Ziaire Williams,SF,22,MEM,30,8,19.0,2.5,6.6,0.382,1.0,3.3,0.316,1.5,3.4,0.446,0.46,1.2,1.4,0.854,0.6,3.0,3.6,1.4,0.4,0.3,1.3,1.7,7.3
Zion Williamson,PF,23,NOP,27,27,30.9,8.8,15.1,0.582,0.1,0.3,0.333,8.7,14.7,0.588,0.586,4.7,7.2,0.656,2.0,4.2,6.1,4.6,1.0,0.3,2.6,2.7,22.4
Jalen Wilson,PF,23,BRK,9,0,9.7,1.3,2.7,0.5,0.2,0.7,0.333,1.1,2.0,0.556,0.542,1.7,1.7,1.0,1.2,1.0,2.2,0.8,0.1,0.1,0.3,1.0,4.6
James Wiseman,C,22,DET,22,0,14.2,2.8,3.9,0.721,0.0,0.0,0.0,2.8,3.9,0.729,0.721,0.8,1.2,0.654,1.4,2.8,4.1,0.6,0.2,0.7,1.0,2.2,6.4
Christian Wood,PF,28,LAL,29,1,19.0,2.4,5.1,0.466,0.8,2.4,0.329,1.6,2.7,0.59,0.544,1.2,2.0,0.614,0.8,4.6,5.4,1.0,0.2,0.6,1.2,1.5,6.8
Delon Wright,PG,31,WAS,11,0,17.2,1.5,3.6,0.4,0.5,1.5,0.313,1.0,2.2,0.458,0.463,1.5,1.7,0.895,0.4,2.1,2.5,3.6,1.5,0.2,0.7,0.8,4.9
Trae Young,PG,25,ATL,30,30,36.6,8.8,20.2,0.436,3.6,9.3,0.385,5.2,10.9,0.48,0.525,7.2,8.3,0.86,0.5,2.5,3.0,11.3,1.4,0.2,4.3,2.0,28.3
Omer Yurtseven,C,25,UTA,20,6,11.7,1.8,3.5,0.507,0.2,0.7,0.231,1.6,2.8,0.571,0.529,0.3,0.4,0.75,1.5,2.9,4.4,0.7,0.2,0.5,1.0,1.6,4.0
Cody Zeller,C,31,NOP,23,0,9.6,0.6,1.7,0.333,0.0,0.0,0.0,0.6,1.7,0.342,0.333,0.7,1.1,0.577,1.2,1.8,3.0,1.1,0.2,0.1,0.3,1.3,1.8
Precious Achiuwa,C-PF,24,TOT,37,0,16.2,2.8,5.8,0.479,0.4,1.4,0.264,2.4,4.3,0.55,0.512,0.7,1.2,0.587,2.0,3.2,5.2,1.3,0.5,0.5,1.0,1.6,6.6
Precious Achiuwa,C,24,TOR,25,0,17.5,3.1,6.8,0.459,0.5,1.9,0.277,2.6,4.9,0.528,0.497,1.0,1.7,0.571,2.0,3.4,5.4,1.8,0.6,0.5,1.2,1.6,7.7
Precious Achiuwa,PF,24,NYK,12,0,13.7,2.0,3.6,0.558,0.1,0.5,0.167,1.9,3.1,0.622,0.57,0.3,0.3,0.75,2.0,2.6,4.6,0.4,0.3,0.6,0.8,1.5,4.3
Bam Adebayo,C,26,MIA,34,34,35.1,7.8,15.6,0.498,0.0,0.3,0.091,7.8,15.3,0.507,0.499,5.7,7.4,0.78,2.3,8.3,10.6,4.4,1.1,1.0,2.5,2.6,21.4
Ochai Agbaji,SG,23,UTA,45,10,20.1,2.2,5.1,0.435,1.0,3.0,0.331,1.2,2.2,0.577,0.53,0.3,0.4,0.75,0.8,1.8,2.5,0.9,0.6,0.6,0.7,1.4,5.8
Santi Aldama,PF,23,MEM,33,7,23.2,3.9,9.0,0.432,1.5,4.5,0.333,2.4,4.4,0.534,0.517,1.0,1.7,0.618,1.2,4.4,5.5,1.8,0.7,0.8,1.1,1.6,10.3
Nickeil Alexander-Walker,SG,25,MIN,44,14,22.7,2.4,5.6,0.429,1.4,3.8,0.37,1.0,1.9,0.549,0.553,0.4,0.6,0.704,0.4,1.4,1.8,2.5,0.9,0.6,1.0,1.8,6.6
Grayson Allen,SG,28,PHO,39,39,33.4,4.6,9.1,0.51,2.8,5.7,0.493,1.8,3.4,0.538,0.664,1.7,1.8,0.903,0.8,3.4,4.2,3.0,0.9,0.6,1.4,2.1,13.7
Jarrett Allen,C,25,CLE,37,37,30.3,6.2,9.3,0.661,0.0,0.0,0.0,6.2,9.3,0.663,0.661,2.6,3.5,0.75,3.5,6.8,10.3,3.0,0.9,1.1,1.8,2.4,14.9
Jose Alvarado,PG,25,NOP,27,0,16.0,2.4,5.9,0.413,1.3,3.4,0.396,1.1,2.6,0.435,0.525,0.7,1.1,0.645,0.4,1.7,2.1,1.8,0.9,0.4,0.8,1.4,7.0
Kyle Anderson,PF,30,MIN,44,2,22.6,2.5,5.3,0.466,0.1,0.7,0.172,2.4,4.7,0.507,0.476,1.4,2.0,0.698,0.7,2.9,3.5,4.0,0.8,0.6,1.3,1.6,6.4
Giannis Antetokounmpo,PF,29,MIL,42,42,35.2,11.6,19.2,0.605,0.4,1.8,0.24,11.2,17.5,0.643,0.616,7.5,11.3,0.669,2.7,9.0,11.7,6.2,1.3,1.1,3.6,2.9,31.3
Cole Anthony,PG,23,ORL,43,0,24.2,4.4,10.2,0.432,1.2,3.6,0.331,3.2,6.7,0.486,0.49,3.0,3.5,0.836,1.0,3.1,4.2,3.2,0.8,0.5,1.9,2.6,13.0
OG Anunoby,SF,26,TOT,39,39,34.3,5.6,11.4,0.493,2.1,5.5,0.38,3.6,6.0,0.597,0.584,1.6,1.9,0.803,1.0,3.3,4.3,2.3,1.2,0.7,1.5,2.4,14.9
OG Anunoby,SF,26,TOR,27,27,33.3,5.8,11.9,0.489,2.3,6.0,0.374,3.6,5.9,0.608,0.584,1.2,1.7,0.717,0.9,3.0,3.9,2.7,1.0,0.5,1.6,2.3,15.1
OG Anunoby,SF,26,NYK,12,12,36.5,5.3,10.4,0.504,1.7,4.2,0.4,3.6,6.3,0.573,0.584,2.3,2.5,0.933,1.3,3.9,5.2,1.3,1.4,1.3,1.4,2.5,14.5
Deni Avdija,SF,23,WAS,43,43,27.5,4.6,9.3,0.5,1.0,2.7,0.368,3.6,6.5,0.555,0.554,2.2,2.9,0.768,1.0,5.2,6.2,3.9,0.9,0.4,1.7,2.5,12.5
Marvin Bagley III,C,24,TOT,30,12,19.9,4.6,7.8,0.588,0.1,0.3,0.222,4.5,7.5,0.603,0.592,2.0,2.7,0.744,2.3,3.1,5.4,1.1,0.3,0.6,1.2,1.8,11.2
Marvin Bagley III,C,24,DET,26,10,18.4,4.1,7.0,0.591,0.0,0.2,0.167,4.1,6.7,0.606,0.594,1.9,2.3,0.82,1.8,2.8,4.5,1.0,0.2,0.5,1.1,1.5,10.2
Marvin Bagley III,C,24,WAS,4,2,29.5,7.5,13.0,0.577,0.3,0.8,0.333,7.3,12.3,0.592,0.587,2.8,5.3,0.524,6.0,5.3,11.3,1.3,1.0,0.8,1.5,3.5,18.0
Amari Bailey,PG,19,CHO,2,0,5.5,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,0.5,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,2.5
Patrick Baldwin Jr.,SF,21,WAS,14,0,7.4,1.0,2.2,0.452,0.6,1.2,0.529,0.4,1.0,0.357,0.597,0.5,0.7,0.7,0.4,1.7,2.1,0.4,0.1,0.2,0.4,1.2,3.1
LaMelo Ball,PG,22,CHO,21,21,32.8,8.4,19.4,0.435,3.2,9.0,0.362,5.2,10.4,0.498,0.518,4.2,4.9,0.873,1.4,3.9,5.3,8.0,1.8,0.2,3.8,3.6,24.3
Mo Bamba,C,25,PHI,24,0,9.0,1.6,3.0,0.549,0.4,0.8,0.556,1.2,2.2,0.547,0.62,0.6,0.9,0.667,1.4,1.7,3.0,0.5,0.4,0.8,0.6,1.2,4.3
Paolo Banchero,PF,21,ORL,44,44,34.8,8.0,17.8,0.45,1.4,4.0,0.354,6.6,13.8,0.478,0.49,5.1,7.3,0.697,1.2,5.9,7.0,4.8,1.0,0.6,3.2,2.1,22.5
Desmond Bane,SG,25,MEM,37,37,34.5,8.9,18.8,0.474,3.3,8.6,0.384,5.6,10.2,0.551,0.563,3.3,3.8,0.864,0.9,3.6,4.6,5.3,1.0,0.5,2.7,2.9,24.4
Dalano Banton,PG,24,BOS,20,1,7.2,0.9,2.1,0.429,0.1,0.6,0.167,0.8,1.5,0.533,0.452,0.7,0.9,0.778,0.6,1.1,1.7,0.6,0.2,0.2,0.5,1.0,2.6
Dominick Barlow,PF,20,SAS,19,1,12.8,1.6,3.6,0.456,0.2,0.4,0.429,1.5,3.2,0.459,0.478,0.7,1.2,0.591,1.2,2.2,3.4,1.1,0.4,0.5,0.2,1.3,4.1
Harrison Barnes,PF,31,SAC,42,42,29.1,3.7,7.9,0.476,1.7,4.4,0.399,2.0,3.5,0.571,0.586,1.9,2.3,0.821,0.9,2.0,2.8,1.2,0.7,0.1,0.7,1.3,11.1
Scottie Barnes,SG,22,TOR,44,44,35.2,7.6,15.8,0.48,2.0,5.5,0.367,5.6,10.3,0.54,0.543,3.0,4.0,0.753,2.3,6.1,8.4,5.7,1.3,1.6,2.7,2.1,20.2
RJ Barrett,SG,23,TOT,38,38,30.7,6.8,14.7,0.464,1.6,4.7,0.343,5.2,10.1,0.521,0.519,3.8,4.9,0.774,0.8,4.4,5.2,2.7,0.5,0.4,1.8,2.2,19.1
RJ Barrett,SG,23,NYK,26,26,29.5,6.3,14.9,0.423,1.7,5.0,0.331,4.7,9.9,0.469,0.478,4.0,4.8,0.831,0.7,3.5,4.3,2.4,0.5,0.3,1.8,1.7,18.2
RJ Barrett,SG,23,TOR,12,12,33.4,8.0,14.3,0.558,1.5,4.0,0.375,6.5,10.3,0.629,0.61,3.4,5.2,0.661,1.0,6.2,7.2,3.4,0.6,0.4,1.7,3.1,20.9
Charles Bassey,C,23,SAS,19,0,10.8,1.5,2.1,0.725,0.0,0.1,0.0,1.5,2.1,0.744,0.725,0.3,0.3,0.833,1.2,2.8,4.0,1.1,0.4,0.9,0.8,1.6,3.3
Emoni Bates,SF,20,CLE,10,0,7.6,0.6,2.5,0.24,0.5,2.0,0.25,0.1,0.5,0.2,0.34,0.1,0.2,0.5,0.1,0.9,1.0,0.6,0.1,0.2,0.1,0.5,1.8
Keita Bates-Diop,SF,28,PHO,33,8,15.9,1.7,4.1,0.41,0.5,1.7,0.281,1.2,2.3,0.506,0.47,0.8,1.0,0.735,0.8,1.8,2.6,0.9,0.6,0.5,0.2,1.0,4.6
Nicolas Batum,PF,35,TOT,31,24,25.0,2.1,4.0,0.524,1.3,2.9,0.456,0.8,1.1,0.706,0.69,0.3,0.5,0.643,1.3,2.6,3.9,2.4,0.7,0.8,0.6,2.0,5.8
Nicolas Batum,PF,35,PHI,28,24,25.7,2.2,4.1,0.534,1.4,3.0,0.47,0.8,1.2,0.697,0.703,0.3,0.5,0.643,1.4,2.6,4.0,2.5,0.7,0.8,0.6,2.0,6.1
Bradley Beal,SG,30,PHO,20,20,32.5,7.2,14.0,0.513,1.6,4.0,0.392,5.6,10.0,0.56,0.568,2.3,3.0,0.763,0.8,3.5,4.3,4.2,0.8,0.4,2.1,2.7,18.1
Malik Beasley,SG,27,MIL,42,42,29.4,4.2,8.6,0.488,2.9,6.2,0.471,1.3,2.5,0.529,0.656,0.3,0.4,0.75,0.6,3.4,4.0,1.4,0.7,0.1,0.7,2.1,11.6
MarJon Beauchamp,SF,23,MIL,34,1,15.7,1.9,4.0,0.474,0.7,1.8,0.403,1.1,2.1,0.534,0.567,0.4,0.6,0.6,0.6,1.9,2.5,0.9,0.3,0.2,0.7,1.4,4.9
Dāvis Bertāns,PF,31,OKC,14,0,6.5,0.7,1.9,0.385,0.7,1.7,0.417,0.0,0.1,0.0,0.577,1.0,1.1,0.933,0.1,0.6,0.7,0.6,0.2,0.2,0.1,0.7,3.1
Patrick Beverley,PG,35,PHI,39,1,18.5,1.9,4.5,0.423,0.7,2.2,0.314,1.2,2.3,0.528,0.5,0.9,1.2,0.761,0.7,2.4,3.1,2.6,0.5,0.3,0.8,1.7,5.4
Saddiq Bey,SF,24,ATL,44,32,32.3,4.3,10.5,0.413,1.8,5.6,0.316,2.6,4.9,0.523,0.497,2.3,2.7,0.825,2.5,4.0,6.4,1.4,1.0,0.1,0.9,1.6,12.7
Goga Bitadze,C,24,ORL,39,31,20.7,2.8,4.6,0.615,0.1,0.3,0.2,2.8,4.3,0.639,0.62,1.2,1.7,0.676,2.5,3.9,6.4,1.7,0.7,1.6,0.8,2.4,6.9
Anthony Black,PG,20,ORL,41,29,19.2,1.9,3.9,0.491,0.5,1.4,0.351,1.4,2.5,0.567,0.553,0.8,1.2,0.627,0.5,1.8,2.4,1.7,0.6,0.4,1.0,2.0,5.1
Leaky Black,SF,24,CHO,13,0,5.2,0.7,1.1,0.643,0.2,0.4,0.6,0.5,0.7,0.667,0.75,0.2,0.3,0.5,0.2,0.7,0.9,0.4,0.2,0.3,0.2,0.2,1.8
Bogdan Bogdanović,SG,31,ATL,42,5,28.3,6.0,14.0,0.427,3.1,8.4,0.364,2.9,5.5,0.522,0.537,1.8,2.0,0.905,0.5,2.6,3.1,2.6,1.3,0.2,1.1,2.4,16.8
Bojan Bogdanović,PF,34,DET,23,22,33.1,7.2,15.4,0.469,3.0,7.3,0.417,4.2,8.1,0.516,0.568,2.7,3.6,0.747,0.6,3.0,3.6,2.7,0.9,0.1,2.2,2.3,20.2
Bol Bol,PF,24,PHO,12,0,7.2,1.4,1.9,0.739,0.3,0.4,0.6,1.2,1.5,0.778,0.804,0.3,0.4,0.8,0.8,1.5,2.3,0.5,0.3,0.5,0.5,0.8,3.4
Devin Booker,PG,27,PHO,35,35,36.1,9.5,19.1,0.494,2.2,5.8,0.381,7.3,13.4,0.543,0.551,6.1,6.9,0.881,0.7,4.2,4.9,7.5,0.9,0.3,2.7,3.0,27.2
Brandon Boston Jr.,SF,22,LAC,8,0,7.4,1.6,4.0,0.406,0.5,1.8,0.286,1.1,2.3,0.5,0.469,0.8,0.8,1.0,0.4,0.6,1.0,0.5,0.1,0.0,0.4,1.3,4.5
Chris Boucher,PF,31,TOR,41,0,14.2,2.1,4.4,0.47,0.7,2.0,0.333,1.4,2.4,0.58,0.544,1.3,1.8,0.75,1.2,2.9,4.0,0.4,0.3,0.5,0.5,1.4,6.1
James Bouknight,SG,23,CHO,10,0,6.4,1.4,3.0,0.467,1.1,2.2,0.5,0.3,0.8,0.375,0.65,0.1,0.2,0.5,0.1,0.8,0.9,0.6,0.0,0.1,0.1,0.2,4.0
Malaki Branham,PG,20,SAS,42,21,21.0,3.4,7.9,0.433,1.0,3.1,0.308,2.5,4.8,0.515,0.494,0.6,0.6,0.926,0.3,1.7,2.0,2.3,0.4,0.1,1.2,1.3,8.4
Christian Braun,SG,22,DEN,45,0,19.1,2.7,6.0,0.454,0.7,1.9,0.365,2.0,4.1,0.495,0.511,1.2,1.7,0.718,0.7,2.8,3.6,1.5,0.4,0.4,0.7,1.6,7.4
Mikal Bridges,SF,27,BRK,43,43,34.9,7.6,16.8,0.455,2.3,6.2,0.363,5.4,10.6,0.509,0.522,4.2,5.0,0.839,0.9,4.3,5.2,3.8,0.9,0.5,2.3,1.6,21.7
Miles Bridges,SF,25,CHO,31,29,37.0,7.9,17.4,0.455,2.3,6.5,0.355,5.6,10.8,0.516,0.522,2.7,3.1,0.866,0.8,6.4,7.1,2.9,1.1,0.5,2.0,2.0,20.8
Oshae Brissett,SF,25,BOS,26,0,12.1,1.4,3.1,0.463,0.4,1.3,0.303,1.0,1.8,0.574,0.525,1.0,1.5,0.684,1.2,1.9,3.0,0.7,0.5,0.1,0.3,1.2,4.2
Malcolm Brogdon,PG,31,POR,35,21,28.0,5.5,12.7,0.437,2.2,5.1,0.422,3.4,7.5,0.447,0.523,2.4,2.9,0.816,0.6,2.9,3.5,5.3,0.7,0.2,1.5,1.4,15.7
Armoni Brooks,PG,25,BRK,10,0,10.4,1.5,4.6,0.326,1.1,3.2,0.344,0.4,1.4,0.286,0.446,0.1,0.2,0.5,0.7,1.1,1.8,0.5,0.1,0.1,0.3,0.3,4.2
Dillon Brooks,SF,28,HOU,34,34,31.5,5.0,10.9,0.463,1.9,4.8,0.396,3.1,6.0,0.517,0.551,1.8,2.1,0.833,0.7,2.8,3.5,1.6,1.0,0.1,1.6,3.6,13.7
Bruce Brown,SG-PG,27,TOT,36,33,29.1,4.5,9.4,0.481,1.0,3.0,0.324,3.5,6.4,0.555,0.533,1.9,2.3,0.821,0.8,3.9,4.6,2.9,1.0,0.3,1.3,2.5,11.9
Bruce Brown,SG,27,IND,33,33,29.7,4.5,9.5,0.475,1.0,3.1,0.327,3.5,6.5,0.545,0.527,2.0,2.5,0.817,0.8,3.9,4.7,3.0,1.1,0.2,1.2,2.5,12.1
Bruce Brown,PG,27,TOR,3,0,22.7,4.3,7.7,0.565,0.7,2.3,0.286,3.7,5.3,0.688,0.609,0.7,0.7,1.0,1.0,3.3,4.3,1.0,0.7,0.3,1.3,3.0,10.0
Greg Brown III,PF,22,DAL,6,0,6.7,0.8,1.8,0.455,0.2,0.5,0.333,0.7,1.3,0.5,0.5,0.7,1.5,0.444,0.5,1.0,1.5,0.7,0.0,0.7,0.7,0.8,2.5
Jaylen Brown,SF,27,BOS,41,41,33.6,8.9,18.0,0.493,2.1,6.0,0.358,6.7,12.0,0.561,0.553,3.2,4.4,0.718,0.9,4.3,5.2,3.6,1.1,0.6,2.5,2.6,23.1
Kendall Brown,SG,20,IND,3,0,5.7,0.7,1.7,0.4,0.0,0.3,0.0,0.7,1.3,0.5,0.4,1.3,2.0,0.667,0.7,0.0,0.7,0.3,0.0,0.0,0.0,1.3,2.7
Kobe Brown,PF,24,LAC,26,0,9.7,0.8,2.2,0.393,0.4,1.4,0.306,0.4,0.8,0.55,0.491,0.0,0.1,0.5,0.2,1.1,1.3,0.6,0.2,0.1,0.2,1.4,2.2
Troy Brown Jr.,SF,24,MIN,34,3,11.6,1.5,3.3,0.442,0.9,2.4,0.37,0.6,0.9,0.625,0.575,0.6,0.6,0.864,0.4,1.6,2.0,1.0,0.2,0.1,0.5,0.7,4.4
Jalen Brunson,PG,27,NYK,42,42,35.8,9.4,19.7,0.475,2.8,6.7,0.423,6.5,13.0,0.502,0.547,5.1,6.1,0.832,0.6,3.3,3.9,6.5,1.0,0.2,2.4,2.1,26.6
Thomas Bryant,C,26,MIA,23,3,10.6,1.8,3.2,0.562,0.0,0.1,0.0,1.8,3.0,0.586,0.562,0.7,0.9,0.85,1.0,2.1,3.1,0.6,0.3,0.2,0.7,1.1,4.3
Kobe Bufkin,SG,20,ATL,2,0,2.0,0.0,1.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5
Reggie Bullock,SF,32,HOU,17,0,9.3,0.8,2.1,0.4,0.6,1.5,0.385,0.2,0.5,0.444,0.543,0.1,0.1,1.0,0.1,1.3,1.4,0.5,0.1,0.1,0.2,0.5,2.3
Alec Burks,SG,32,DET,37,0,20.5,3.8,9.7,0.391,2.4,5.9,0.402,1.4,3.8,0.374,0.514,2.8,3.1,0.895,0.4,1.9,2.3,1.5,0.4,0.2,0.7,1.5,12.7
Jared Butler,SG,23,WAS,17,0,7.5,1.6,2.9,0.56,0.6,1.4,0.417,1.1,1.5,0.692,0.66,0.7,0.9,0.8,0.0,0.6,0.6,1.8,0.5,0.1,0.6,0.8,4.6
Jimmy Butler,PF,34,MIA,29,29,33.7,6.4,13.4,0.481,0.8,2.1,0.4,5.6,11.3,0.495,0.512,7.1,8.1,0.881,1.9,3.0,5.0,4.4,1.1,0.3,1.8,1.1,20.9
Jamal Cain,PF,24,MIA,14,1,14.9,2.1,4.7,0.439,0.6,1.8,0.32,1.5,2.9,0.512,0.5,1.0,1.4,0.737,0.9,1.2,2.1,0.2,0.6,0.3,0.3,1.1,5.7
